Date,TotalPrice,Rolling_7,Rolling_30
2009-12-01,43894.87,,
2009-12-02,52762.06,,
2009-12-03,67413.62,,
2009-12-04,33913.81,,
2009-12-05,9803.050000000001,,
2009-12-06,24390.1,,
2009-12-07,33002.49,37882.857142857145,
2009-12-08,44763.340000000004,38006.92428571428,
2009-12-09,30763.170000000002,34864.22571428571,
2009-12-10,38598.21,30747.73857142857,
2009-12-11,39204.17,31503.504285714287,
2009-12-12,0.0,30103.068571428572,
2009-12-13,21577.35,29701.247142857144,
2009-12-14,51245.16,32307.342857142856,
2009-12-15,46836.63,32603.527142857143,
2009-12-16,36927.3,33484.11714285715,
2009-12-17,29758.87,32221.354285714282,
2009-12-18,31562.72,31129.71857142857,
2009-12-19,0.0,31129.71857142857,
2009-12-20,11355.19,29669.41,
2009-12-21,15549.640000000001,24570.05,
2009-12-22,10696.59,19407.187142857143,
2009-12-23,9485.67,15486.954285714286,
2009-12-24,0.0,11235.687142857145,
2009-12-25,0.0,6726.727142857143,
2009-12-26,0.0,6726.727142857142,
2009-12-27,0.0,5104.557142857143,
2009-12-28,0.0,2883.1800000000003,
2009-12-29,0.0,1355.0957142857144,
2009-12-30,0.0,0.0,22783.467
2009-12-31,0.0,0.0,21320.304666666667
2010-01-01,0.0,0.0,19561.569333333333
2010-01-02,0.0,0.0,17314.448666666667
2010-01-03,0.0,0.0,16183.988333333335
2010-01-04,13415.09,1916.4414285714286,16304.389666666666
2010-01-05,19051.19,4638.04,16126.426
2010-01-06,8731.26,5885.362857142857,15317.385
2010-01-07,72989.38,16312.417142857144,16258.253
2010-01-08,30292.7,20639.945714285717,16242.570666666667
2010-01-09,0.0,20639.945714285717,14955.963666666668
2010-01-10,23157.33,23948.135714285716,14421.069
2010-01-11,19684.49,24843.76428571429,15077.21866666667
2010-01-12,38833.58,27669.820000000003,15652.426333333335
2010-01-13,12391.1,28192.65428571429,14357.291000000001
2010-01-14,23721.64,21154.405714285716,13586.791333333334
2010-01-15,13499.550000000001,18755.38428571429,12805.866333333335
2010-01-16,0.0,18755.38428571429,11813.904
2010-01-17,17363.25,17927.658571428572,11340.588333333335
2010-01-18,12078.84,16841.137142857147,11743.216333333334
2010-01-19,21892.791,14421.02442857143,12094.4697
2010-01-20,13244.34,14542.915857142858,12017.626366666667
2010-01-21,27359.23,15062.571571428574,12573.047700000001
2010-01-22,29345.83,17326.32585714286,13235.053033333334
2010-01-23,0.0,17326.32585714286,13235.053033333334
2010-01-24,15552.32,17067.621571428575,13753.463699999998
2010-01-25,18346.54,17963.007285714288,14365.015033333333
2010-01-26,38570.37,20345.518571428573,15650.694033333333
2010-01-27,23722.72,21842.43,16441.451366666664
2010-01-28,18914.83,20636.087142857144,17071.9457
2010-01-29,25382.441,20069.888714285717,17918.02706666667
2010-01-30,0.0,20069.888714285717,17918.02706666667
2010-01-31,18261.86,20456.965857142863,18526.755733333335
2010-02-01,16606.931,20208.450285714287,19080.3201
2010-02-02,19532.03,17488.687428571433,19731.387766666667
2010-02-03,17230.061,16561.16471428572,19858.553466666668
2010-02-04,22486.01,17071.33328571429,19973.047466666667
2010-02-05,19420.74,16219.661714285718,20329.36346666667
2010-02-06,0.0,16219.661714285716,17896.384133333333
2010-02-07,17023.920000000002,16042.813142857147,17454.09146666667
2010-02-08,13016.04,15529.828714285715,17887.959466666667
2010-02-09,18398.260000000002,15367.861571428573,17729.323800000002
2010-02-10,6082.34,13775.330000000002,17275.9188
2010-02-11,15061.87,12714.738571428576,16483.528466666667
2010-02-12,9728.96,11330.198571428573,16394.79046666667
2010-02-13,0.0,11330.198571428573,15604.069133333334
2010-02-14,17772.19,11437.094285714289,15746.490466666668
2010-02-15,42318.211,15623.11871428572,17157.0975
2010-02-16,25669.010000000002,16661.79728571429,17433.956166666667
2010-02-17,26455.22,19572.208714285716,17913.168833333337
2010-02-18,35737.24,22525.833000000002,18374.650466666666
2010-02-19,18931.99,23840.551571428576,18564.238800000003
2010-02-20,0.0,23840.551571428576,17652.26446666667
2010-02-21,11394.731,22929.486000000004,17053.894500000002
2010-02-22,26336.24,20646.347285714288,17931.769166666665
2010-02-23,20840.010000000002,19956.490142857143,18108.0255
2010-02-24,30392.661,20518.981714285717,18509.562866666667
2010-02-25,44604.16,21785.684571428574,18710.6892
2010-02-26,12778.641,20906.634714285716,18345.886566666668
2010-02-27,0.0,20906.634714285716,17715.392233333332
2010-02-28,16741.49,21670.45742857143,17427.360533333336
2010-03-01,23933.87,21327.261714285716,18225.1562
2010-03-02,21667.8,21445.517428571427,18338.687533333334
2010-03-03,31849.7,21653.66585714286,18846.779833333334
2010-03-04,29966.35,19562.550142857148,19194.590500000002
2010-03-05,25361.64,21360.12142857143,19465.64313333334
2010-03-06,0.0,21360.12142857143,18716.10946666667
2010-03-07,19034.6,21687.708571428575,18703.238133333336
2010-03-08,26605.58,22069.38142857143,19590.0908
2010-03-09,19665.69,21783.36571428572,19678.149800000003
2010-03-10,22905.79,20505.66428571429,20007.808133333332
2010-03-11,21537.09,19301.484285714287,20112.4358
2010-03-12,19123.05,18410.257142857146,20547.12613333333
2010-03-13,0.0,18410.257142857146,20045.0638
2010-03-14,8947.9,16969.3,20019.028466666667
2010-03-15,20536.681,16102.314428571428,20703.5845
2010-03-16,21048.78,16299.898714285713,20812.804166666665
2010-03-17,29543.78,17248.183,20386.9898
2010-03-18,37570.75,19538.70585714286,20783.714466666668
2010-03-19,35274.3,21846.027285714288,21077.6838
2010-03-20,0.0,21846.027285714288,19886.442466666667
