Actual,Prediction
0.0,20473.152
38335.52,20357.264
34956.56,20340.908
55108.91,20340.387
30355.012,20400.633
47610.918,20403.53
51836.73,20437.764
0.0,20478.61
23139.31,20383.604
39962.9,20333.639
46566.35,20339.316
51564.703,20377.467
86945.125,20432.47
42398.82,20566.588
0.0,20583.812
31176.14,20467.656
36591.438,20412.982
46577.64,20389.88
43387.258,20409.412
32847.8,20430.994
32843.94,20425.105
0.0,20413.264
28634.59,20316.617
27945.06,20290.748
42545.95,20282.016
30480.55,20320.994
30701.299,20335.396
36100.95,20343.777
0.0,20360.336
29947.64,20282.914
20730.24,20274.268
42866.91,20256.37
42870.87,20300.043
83876.125,20350.154
40907.93,20493.887
0.0,20525.447
31345.791,20425.799
32303.99,20385.44
53013.207,20362.148
73575.93,20404.156
59712.61,20505.506
36167.25,20570.193
0.0,20558.33
27934.709,20435.666
42964.04,20375.568
63788.84,20374.896
45726.742,20445.387
37074.973,20479.182
39999.42,20480.01
0.0,20476.598
32056.05,20368.648
31724.879,20337.79
49805.348,20326.355
41138.6,20372.627
67870.96,20404.137
28828.04,20493.85
0.0,20481.291
27125.16,20376.22
63245.18,20331.514
49806.23,20395.045
46192.492,20444.045
47197.57,20478.232
23876.63,20502.691
0.0,20459.518
31361.281,20346.617
31009.33,20314.76
53730.96,20305.781
39094.2,20366.92
38193.91,20398.6
