ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,22863.8882780616,38462.15667217755,64069.82445887156,22863.8882780616,22863.8882780616,28234.30048053069,28234.30048053069,28234.30048053069,6625.862082272657,6625.862082272657,6625.862082272657,21608.438398258033,21608.438398258033,21608.438398258033,0.0,0.0,0.0,51098.18875859229
2009-12-02,22867.399376662073,33356.20264170225,60083.979762929994,22867.399376662073,22867.399376662073,24686.820474516484,24686.820474516484,24686.820474516484,3767.3797184276,3767.3797184276,3767.3797184276,20919.440756088887,20919.440756088887,20919.440756088887,0.0,0.0,0.0,47554.219851178554
2009-12-03,22870.910475262543,40331.61053222826,66966.6308208906,22870.910475262543,22870.910475262543,30631.027343985654,30631.027343985654,30631.027343985654,10563.955785110455,10563.955785110455,10563.955785110455,20067.071558875195,20067.071558875195,20067.071558875195,0.0,0.0,0.0,53501.937819248196
2009-12-04,22874.421573863016,29798.450050659187,55646.09407609281,22874.421573863016,22874.421573863016,20099.2275946925,20099.2275946925,20099.2275946925,1047.9591267122112,1047.9591267122112,1047.9591267122112,19051.268467980288,19051.268467980288,19051.268467980288,0.0,0.0,0.0,42973.649168555516
2009-12-05,22877.93267246348,5190.228277452617,30183.387644440852,22877.93267246348,22877.93267246348,-4118.405555990399,-4118.405555990399,-4118.405555990399,-21993.077024908675,-21993.077024908675,-21993.077024908675,17874.671468918277,17874.671468918277,17874.671468918277,0.0,0.0,0.0,18759.52711647308
2009-12-06,22881.443771063954,22831.95234040297,48149.59196201178,22881.443771063954,22881.443771063954,12647.540266277469,12647.540266277469,12647.540266277469,-3895.191603600469,-3895.191603600469,-3895.191603600469,16542.731869877938,16542.731869877938,16542.731869877938,0.0,0.0,0.0,35528.98403734142
2009-12-07,22884.954869664423,28199.341228478726,54330.33314484698,22884.954869664423,22884.954869664423,18946.871640163987,18946.871640163987,18946.871640163987,3883.1119160560415,3883.1119160560415,3883.1119160560415,15063.759724107944,15063.759724107944,15063.759724107944,0.0,0.0,0.0,41831.82650982841
2009-12-08,22888.465968264893,30747.36472752644,56104.73602927851,22888.465968264893,22888.465968264893,20074.76784289532,20074.76784289532,20074.76784289532,6625.862082285813,6625.862082285813,6625.862082285813,13448.905760609505,13448.905760609505,13448.905760609505,0.0,0.0,0.0,42963.233811160215
2009-12-09,22891.977066865365,24490.75311005734,51641.75719317954,22891.977066865365,22891.977066865365,15479.455307735241,15479.455307735241,15479.455307735241,3767.379718439923,3767.379718439923,3767.379718439923,11712.07558929532,11712.07558929532,11712.07558929532,0.0,0.0,0.0,38371.432374600605
2009-12-10,22895.488165465835,30700.626685619445,56502.063508013336,22895.488165465835,22895.488165465835,20433.731518532884,20433.731518532884,20433.731518532884,10563.955785076281,10563.955785076281,10563.955785076281,9869.775733456605,9869.775733456605,9869.775733456605,0.0,0.0,0.0,43329.219683998715
2009-12-11,22898.999264066304,18524.573604690864,43784.73683594946,22898.999264066304,22898.999264066304,8988.852011719466,8988.852011719466,8988.852011719466,1047.959126700971,1047.959126700971,1047.959126700971,7940.892885018495,7940.892885018495,7940.892885018495,0.0,0.0,0.0,31887.851275785768
2009-12-12,22902.510362666777,-5885.492819648963,20409.35319463403,22902.510362666777,22902.510362666777,-16046.667400761069,-16046.667400761069,-16046.667400761069,-21993.077024902548,-21993.077024902548,-21993.077024902548,5946.409624141482,5946.409624141482,5946.409624141482,0.0,0.0,0.0,6855.842961905708
2009-12-13,22906.02145866215,10525.152166367205,34659.67011910661,22906.02145866215,22906.02145866215,13.870038657541468,13.870038657541468,13.870038657541468,-3895.191603585682,-3895.191603585682,-3895.191603585682,3909.0616422432236,3909.0616422432236,3909.0616422432236,0.0,0.0,0.0,22919.89149731969
2009-12-14,22909.53255465753,16487.33841796594,41700.21192949752,22909.53255465753,22909.53255465753,5736.055119959861,5736.055119959861,5736.055119959861,3883.1119160498456,3883.1119160498456,3883.1119160498456,1852.9432039100157,1852.9432039100157,1852.9432039100157,0.0,0.0,0.0,28645.58767461739
2009-12-15,22913.043650652908,16506.584071566158,42053.8021462622,22913.043650652908,22913.043650652908,6428.931211560015,6428.931211560015,6428.931211560015,6625.862082288763,6625.862082288763,6625.862082288763,-196.93087072874863,-196.93087072874863,-196.93087072874863,0.0,0.0,0.0,29341.974862212923
2009-12-16,22916.554746648286,12022.063880394086,37602.280257686376,22916.554746648286,22916.554746648286,1552.282646347253,1552.282646347253,1552.282646347253,3767.3797184361874,3767.3797184361874,3767.3797184361874,-2215.097072088935,-2215.097072088935,-2215.097072088935,0.0,0.0,0.0,24468.837392995538
2009-12-17,22920.06584264366,17202.76905890518,41806.00174138667,22920.06584264366,22920.06584264366,6387.817612315871,6387.817612315871,6387.817612315871,10563.955785070404,10563.955785070404,10563.955785070404,-4176.138172754534,-4176.138172754534,-4176.138172754534,0.0,0.0,0.0,29307.88345495953
2009-12-18,22923.57693863904,3672.6059673233776,31631.122654471757,22923.57693863904,22923.57693863904,-5007.230595102895,-5007.230595102895,-5007.230595102895,1047.9591266897316,1047.9591266897316,1047.9591266897316,-6055.189721792626,-6055.189721792626,-6055.189721792626,0.0,0.0,0.0,17916.346343536145
2009-12-19,22927.088034634417,-20028.02494021372,5757.267484892884,22927.088034634417,22927.088034634417,-29821.522963545493,-29821.522963545493,-29821.522963545493,-21993.077024896425,-21993.077024896425,-21993.077024896425,-7828.445938649067,-7828.445938649067,-7828.445938649067,0.0,0.0,0.0,-6894.434928911076
2009-12-20,22930.599130629795,-2559.9961286525504,22095.052233257687,22930.599130629795,22930.599130629795,-13368.844265533367,-13368.844265533367,-13368.844265533367,-3895.191603570892,-3895.191603570892,-3895.191603570892,-9473.652661962475,-9473.652661962475,-9473.652661962475,0.0,0.0,0.0,9561.754865096427
2009-12-21,22934.110226625173,3234.198413310351,28569.523370917228,22934.110226625173,22934.110226625173,-7087.463199927473,-7087.463199927473,-7087.463199927473,3883.1119160590515,3883.1119160590515,3883.1119160590515,-10970.575115986525,-10970.575115986525,-10970.575115986525,0.0,0.0,0.0,15846.6470266977
2009-12-22,22937.621322620547,4342.7907521170355,30146.04590287758,22937.621322620547,22937.621322620547,-5675.566612639169,-5675.566612639169,-5675.566612639169,6625.862082278827,6625.862082278827,6625.862082278827,-12301.428694917995,-12301.428694917995,-12301.428694917995,0.0,0.0,0.0,17262.054709981378
2009-12-23,22941.132418615925,1186.4778604150893,27631.208530059645,22941.132418615925,22941.132418615925,-9683.882006714783,-9683.882006714783,-9683.882006714783,3767.3797184199934,3767.3797184199934,3767.3797184199934,-13451.261725134776,-13451.261725134776,-13451.261725134776,0.0,0.0,0.0,13257.250411901143
2009-12-24,22944.644023567038,6150.380003633096,31961.58797314227,22944.644023567038,22944.644023567038,-3844.324444987851,-3844.324444987851,-3844.324444987851,10563.95578506364,10563.95578506364,10563.95578506364,-14408.28023005149,-14408.28023005149,-14408.28023005149,0.0,0.0,0.0,19100.319578579187
2009-12-25,22948.155628518147,-4324.497923313075,21626.304811635047,22948.155628518147,22948.155628518147,-14116.146939110657,-14116.146939110657,-14116.146939110657,1047.9591266560215,1047.9591266560215,1047.9591266560215,-15164.106065766677,-15164.106065766677,-15164.106065766677,0.0,0.0,0.0,8832.00868940749
2009-12-26,22951.667233469256,-27697.81705749039,-2066.2341816317617,22951.667233469256,22951.667233469256,-37707.03840929499,-37707.03840929499,-37707.03840929499,-21993.077024893428,-21993.077024893428,-21993.077024893428,-15713.961384401564,-15713.961384401564,-15713.961384401564,0.0,0.0,0.0,-14755.371175825734
2009-12-27,22955.178838420365,-9403.97780065112,16032.32322018942,22955.178838420365,22955.178838420365,-19951.965778278634,-19951.965778278634,-19951.965778278634,-3895.19160359714,-3895.19160359714,-3895.19160359714,-16056.774174681492,-16056.774174681492,-16056.774174681492,0.0,0.0,0.0,3003.2130601417302
2009-12-28,22958.690443371474,-1630.340099723577,23375.901591993344,22958.690443371474,22958.690443371474,-12312.089662867556,-12312.089662867556,-12312.089662867556,3883.1119160528565,3883.1119160528565,3883.1119160528565,-16195.201578920412,-16195.201578920412,-16195.201578920412,0.0,0.0,0.0,10646.600780503917
2009-12-29,22962.202048322582,756.231222524495,26190.845787972525,22962.202048322582,22962.202048322582,-9509.707658106088,-9509.707658106088,-9509.707658106088,6625.86208226889,6625.86208226889,6625.86208226889,-16135.569740374976,-16135.569740374976,-16135.569740374976,0.0,0.0,0.0,13452.494390216494
2009-12-30,22965.713653273695,-1376.073812739178,23434.48495487804,22965.713653273695,22965.713653273695,-12120.35132156356,-12120.35132156356,-12120.35132156356,3767.379718403796,3767.379718403796,3767.379718403796,-15887.731039967355,-15887.731039967355,-15887.731039967355,0.0,0.0,0.0,10845.362331710136
2009-12-31,22969.225258224804,4607.967607296426,29705.3122219436,22969.225258224804,22969.225258224804,-4900.885894711248,-4900.885894711248,-4900.885894711248,10563.95578508606,10563.95578508606,10563.95578508606,-15464.841679797308,-15464.841679797308,-15464.841679797308,0.0,0.0,0.0,18068.339363513558
2010-01-01,22972.736863175913,-3532.528760225255,22165.81095027422,22972.736863175913,22972.736863175913,-13835.105479032427,-13835.105479032427,-13835.105479032427,1047.9591267122883,1047.9591267122883,1047.9591267122883,-14883.064605744716,-14883.064605744716,-14883.064605744716,0.0,0.0,0.0,9137.631384143486
2010-01-02,22976.248468127018,-26577.102528834486,-1362.452175656097,22976.248468127018,22976.248468127018,-36154.281702342785,-36154.281702342785,-36154.281702342785,-21993.077024899496,-21993.077024899496,-21993.077024899496,-14161.20467744329,-14161.20467744329,-14161.20467744329,0.0,0.0,0.0,-13178.033234215767
2010-01-03,22979.760073078127,-7512.482307714099,17970.65572810919,22979.760073078127,22979.760073078127,-17215.476341969716,-17215.476341969716,-17215.476341969716,-3895.1916036233883,-3895.1916036233883,-3895.1916036233883,-13320.284738346327,-13320.284738346327,-13320.284738346327,0.0,0.0,0.0,5764.283731108411
2010-01-04,22983.27167870697,1381.5592125238045,26744.95816173502,22983.27167870697,22983.27167870697,-8499.960847666705,-8499.960847666705,-8499.960847666705,3883.111916059753,3883.111916059753,3883.111916059753,-12383.072763726459,-12383.072763726459,-12383.072763726459,0.0,0.0,0.0,14483.310831040264
2010-01-05,22986.783284335816,4177.454725562298,31242.810336913903,22986.783284335816,22986.783284335816,-4747.709445768358,-4747.709445768358,-4747.709445768358,6625.862082282045,6625.862082282045,6625.862082282045,-11373.571528050403,-11373.571528050403,-11373.571528050403,0.0,0.0,0.0,18239.073838567456
2010-01-06,22990.294889964658,4483.704796453136,29667.135702075066,22990.294889964658,22990.294889964658,-6549.103481708188,-6549.103481708188,-6549.103481708188,3767.379718400062,3767.379718400062,3767.379718400062,-10316.48320010825,-10316.48320010825,-10316.48320010825,0.0,0.0,0.0,16441.19140825647
2010-01-07,22993.8064955935,10951.311445016227,37920.75865925498,22993.8064955935,22993.8064955935,1327.2938672085493,1327.2938672085493,1327.2938672085493,10563.955785079297,10563.955785079297,10563.955785079297,-9236.661917870748,-9236.661917870748,-9236.661917870748,0.0,0.0,0.0,24321.100362802048
