InvoiceDate,TotalPrice
2009-12-06,232177.51
2009-12-13,207908.73
2009-12-20,207685.87
2009-12-27,35731.9
2010-01-03,0.0
2010-01-10,167636.95
2010-01-17,125493.61
2010-01-24,119473.351
2010-01-31,143198.761
2010-02-07,112299.692
2010-02-14,80059.66
2010-02-21,160506.402
2010-02-28,151693.202
2010-03-07,151813.96
2010-03-14,118785.1
2010-03-21,164459.771
2010-03-28,172063.68
2010-04-04,118502.62
2010-04-11,124314.76
2010-04-18,141539.381
2010-04-25,138922.62
2010-05-02,170900.751
2010-05-09,149102.83
2010-05-16,155673.54
2010-05-23,138681.57
2010-05-30,142033.27
2010-06-06,90358.06
2010-06-13,200239.71
2010-06-20,126987.39
2010-06-27,103924.84
2010-07-04,170793.57
2010-07-11,136775.12
2010-07-18,144495.58
2010-07-25,133616.0
2010-08-01,149554.98
2010-08-08,117866.37
2010-08-15,139842.07
2010-08-22,154786.91
2010-08-29,136279.55
2010-09-05,123619.55
2010-09-12,119333.94
2010-09-19,155778.921
2010-09-26,223587.04
2010-10-03,302392.66
2010-10-10,243007.44
2010-10-17,298614.04
2010-10-24,220882.67
2010-10-31,197721.45
2010-11-07,262597.86
2010-11-14,282707.701
2010-11-21,261610.06100000002
2010-11-28,246492.99
2010-12-05,261679.38
2010-12-12,162028.4
