Actual,Prophet,LSTM,Hybrid
0.0,18104.50700953965,20473.152,19288.829504769827
38335.52,36274.838620834525,20357.264,28316.051310417264
34956.56,44007.23728236075,20340.908,32174.072641180377
55108.91,46593.9749236948,20340.387,33467.1809618474
30355.012,43479.34496117445,20400.633,31939.988980587226
47610.918,49931.05926934723,20403.53,35167.29463467361
51836.73,39994.050997012375,20437.764,30215.90749850619
0.0,16469.2409744842,20478.61,18473.9254872421
23139.31,34034.47496506071,20383.604,27209.039482530356
39962.9,41245.30798540401,20333.639,30789.473492702004
46566.35,43399.68910808447,20339.316,31869.502554042236
51564.703,39945.42956097449,20377.467,30161.448280487246
86945.125,46151.61529249876,20432.47,33292.04264624938
42398.82,36062.48251078282,20566.588,28314.535255391413
0.0,12476.310117556975,20583.812,16530.06105877849
31176.14,30066.53096084868,20467.656,25267.093480424337
36591.438,37382.73147982008,20412.982,28897.856739910043
46577.64,39715.58539932815,20389.88,30052.732699664077
43387.258,36504.59568248298,20409.412,28457.003841241487
32847.8,43009.796728847126,20430.994,31720.395364423563
32843.94,33265.925857115966,20425.105,26845.515428557985
0.0,10061.60853787435,20413.264,15237.436268937174
28634.59,28060.750147753857,20316.617,24188.68357387693
27945.06,35803.795255077384,20290.748,28047.271627538692
42545.95,38572.89238004725,20282.016,29427.45419002362
30480.55,35799.83180612604,20320.994,28060.41290306302
30701.299,42737.90308107546,20335.396,31536.64954053773
36100.95,33416.17733533187,20343.777,26879.977167665937
0.0,10618.756522224812,20360.336,15489.546261112406
29947.64,29006.181601385004,20282.914,24644.547800692504
20730.24,37116.661548918346,20274.268,28695.46477445917
42866.91,40231.163589763295,20256.37,30243.766794881645
42870.87,37781.23617506846,20300.043,29040.639587534228
83876.125,45020.71663932269,20350.154,32685.435319661345
40907.93,35979.83513601094,20493.887,28236.86106800547
0.0,13444.264378688413,20525.447,16984.855689344207
31345.791,32076.31534249705,20425.799,26251.057171248525
32303.99,40415.94937277541,20385.44,30400.694686387702
53013.207,43745.65581502307,20362.148,32053.901907511536
73575.93,41498.07526552481,20404.156,30951.115632762405
59712.61,48927.52852753342,20505.506,34716.51726376671
36167.25,40063.97032120657,20570.193,30317.081660603286
0.0,17691.923771758306,20558.33,19125.12688587915
27934.709,36471.601148628615,20435.666,28453.633574314306
42964.04,44939.88525978718,20375.568,32657.72662989359
63788.84,48375.22306110314,20374.896,34375.059530551574
45726.742,46205.31242102829,20445.387,33325.34971051414
37074.973,53678.74131226282,20479.182,37078.96165613141
39999.42,44819.09601736891,20480.01,32649.553008684452
0.0,22404.09032010942,20476.598,21440.34416005471
32056.05,41086.91561946704,20368.648,30727.781809733522
31724.879,49397.47951072645,20337.79,34867.63475536322
49805.348,52607.5764046761,20326.355,36466.96570233805
41138.6,50138.86225185552,20372.627,35255.744625927764
67870.96,57234.78314856437,20404.137,38819.460074282186
28828.04,47914.964590421616,20493.85,34204.40729521081
0.0,24954.60350152644,20481.291,22717.94725076322
27125.16,43006.05342266284,20376.22,31691.13671133142
63245.18,50600.26144128119,20331.514,35465.887720640596
49806.23,53012.09236381171,20395.045,36703.568681905854
46192.492,49668.40527870366,20444.045,35056.22513935183
47197.57,55820.02676560761,20478.232,38149.1293828038
23876.63,45496.12358563165,20502.691,32999.40729281583
0.0,21483.51479947353,20459.518,20971.516399736764
31361.281,38448.11336233895,20346.617,29397.365181169473
31009.33,44936.15734678428,20314.76,32625.45867339214
53730.96,46239.26975215906,20305.781,33272.52537607953
39094.2,41802.21733801083,20366.92,31084.568669005414
38193.91,46894.519735547605,20398.6,33646.5598677738
